,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1st,0.33,0.60,0.35,0.39,0.37,0.05,-0.03,0.00,0.02,0.03,-0.06,-0.01,0.25,0.00,0.23,-0.01
2nd,0.09,0.08,0.08,0.04,-0.03,-0.26,0.54,-0.16,-0.03,0.22,0.60,-0.13,-0.01,0.28,-0.22,-0.18
3rd,-0.02,0.12,-0.01,-0.02,-0.10,0.05,-0.02,-0.60,0.45,0.43,-0.22,-0.04,-0.38,-0.05,0.14,-0.04
4th,-0.02,0.00,-0.09,0.11,-0.02,-0.30,0.10,0.32,0.53,-0.32,0.21,0.24,-0.28,0.08,0.46,0.05
5th,-0.04,-0.43,0.09,-0.18,0.33,0.10,0.21,-0.38,-0.04,-0.21,0.00,-0.17,0.31,0.12,0.53,-0.05
6th,0.00,-0.03,0.10,-0.02,0.04,-0.04,-0.26,-0.43,0.06,-0.21,0.28,0.71,0.20,-0.06,-0.23,0.01
7th,0.02,-0.15,0.00,-0.10,0.04,0.33,0.05,0.29,-0.06,0.64,0.25,0.36,0.10,-0.03,0.30,0.25
8th,-0.20,0.26,-0.25,0.25,-0.07,0.31,0.20,-0.24,-0.43,-0.25,0.09,0.09,-0.35,0.15,0.16,0.38
9th,-0.05,0.00,0.06,0.04,-0.03,0.71,-0.13,0.07,0.43,-0.20,0.34,-0.26,0.03,0.09,-0.19,-0.09
10th,0.20,-0.03,0.22,-0.16,-0.12,-0.02,0.34,-0.02,0.27,-0.11,-0.23,-0.02,0.17,0.08,-0.25,0.72
11th,-0.26,-0.33,0.16,0.45,0.43,0.09,0.36,0.08,0.07,0.04,-0.19,0.17,-0.21,-0.24,-0.28,-0.08
12th,0.16,-0.33,0.26,0.19,0.18,-0.12,-0.46,0.00,-0.10,0.09,0.05,-0.10,-0.32,0.58,-0.07,0.20
13th,-0.13,-0.05,0.02,0.11,0.13,-0.24,-0.25,-0.11,0.00,0.04,0.42,-0.37,-0.02,-0.58,0.03,0.40
14th,-0.52,0.19,-0.43,0.06,0.31,-0.16,-0.11,0.01,0.22,0.17,-0.06,-0.05,0.37,0.35,-0.12,0.15
15th,0.14,-0.29,-0.20,0.66,-0.50,-0.02,-0.01,-0.09,0.06,0.07,-0.05,-0.04,0.37,0.02,0.09,-0.01
16th,0.63,-0.10,-0.64,-0.03,0.37,0.06,0.02,-0.04,0.05,-0.02,0.02,0.01,-0.09,-0.08,-0.14,0.03
